enlace,me_gusta,Publicacion,descripcion,ID_Comentario,Usuario,Texto_Comentario,Cantidad_Likes,Tema_Principal,Sentimiento,Subtema_o_Keyword,Es_Respuesta_A
,,1,,C9.1,7 sem,desde cuando ya no se puede acceder ?,0,Recursos,Neutral,Pregunta Scopus,C9
,,1,,C10,7 sem,🔥🔥🔥🔥🔥🔥❤️❤️,0,-,Positivo,Emoticones,-
,,1,,C11,7 sem,Siempre San Marcos. 👏🏻👏🏻👏🏻,1,Orgullo,Positivo,Apoyo Institucional,-
,,1,,C12,7 sem,"¡Felicitaciones a la Decana de América! 👏 Un merecido reconocimiento al esfuerzo, compromiso y calidad académica que siempre ha caracterizado a la UNMSM.",16,Logro,Positivo,Felicitación General,-
,,1,,C13,7 sem,Excelente Decana de América. 👏👏👏,0,Logro,Positivo,Felicitación General,-
,,1,,C14,unmsm_,San Marcos ❤️,17,Orgullo,Positivo,Amor a la Alma Mater,-
,,1,,C15,7 sem,@unmsm_ que mejoren las políticas educativas en pro de los estudiantes que ingresan con mucho esfuerzo e ilusión 🙏🏼❣,11,Gestión,Negativo,Crítica y Petición,-
https://www.instagram.com/p/DLQbVRwPSWL/?img_index=1,8734,2,"¡Somos la universidad N.º1 del Perú! 🎓✨ Según el QS World University Rankings 2026, nos destacamos como N.º1 en empleabilidad (Employment Outcome), un indicador clave que mide la exitosa inserción laboral de nuestros graduados y la influencia que ejercen en sus respectivas áreas profesionales. 💼📈

Con 474 años de historia, mantenemos un liderazgo histórico. Somos la universidad más antigua de América y un referente académico para todo el continente. 📚🌎

Además, somos la única universidad pública acreditada por la UDUALC, lo que refuerza nuestro compromiso con la excelencia educativa y el desarrollo profesional de nuestros estudiantes. 🏅

¡Orgullosos de ser #Sanmarquinos! 💪 #UNMSM #LiderazgoHistórico #EducaciónDeCalidad",C1,7 sem,Y en privadas cual es?,3,Ranking,Neutral,Comparación con privadas,-
,,2,,C2,7 sem,Orgullosamente sanmarquina🤍,21,Orgullo,Positivo,Orgullo institucional,-
,,2,,C3,7 sem,Día 9 queriendo conocer al CM,9,Gestión,Neutral,Petición comunicación,-
,,2,,C4,7 sem,Lamentablemente viene retrocediendo hace décadas y sin mejoras en el ranking 😢,34,Ranking,Negativo,Retroceso ranking,-
,,2,,C5,7 sem,😍😍,1,-,Positivo,Emoticones,-
,,2,,C6,7 sem,👏👏👏,1,-,Positivo,Aplausos,-
,,2,,C7,7 sem,"En el ranking QS San marcos viene retrocediendo puestos desde hace más de una década. Empezo en el nivel 600-700 a nivel mundial y hoy bajo a más del 1000. Eso demuestra que SM no ha sabido gestionar la totalidad de indicadores que mide el ranking, siendo uno de los principales la investigación. Hoy la universidad se ha convertido en un aliado de un gobierno desastroso, abriendo carreras sin presupuesto ni viendo la calidad académica de los docentes.",96,Ranking/Gestión,Negativo,Crítica investigación y gestión,-
,,2,,C8,7 sem,"UNMSM tiene historia y prestigio a nivel nacional/internacional, pero depende del alumno/egresado mantener ese level en su desempeño en el ámbito laboral. Para mí siempre es un orgullo presentarme como sanmarquina.",28,Orgullo,Mixto,Reconocimiento alumnos,-
,,2,,C9,7 sem,"Lástima que ya no sea la primera universidad del Perú, sino que ahora se hace énfasis en que es la primera universidad PÚBLICA. ¿Retrocedemos o las demás universidades avanzan a pasos agigantados? Tal parece que es más lo segundo que lo primero... El presupuesto público no solo es limitante para el desarrollo de nuestra universidad, sino también la capacidad de las autoridades y administrativos en garantizar su adecuada ejecución.",202,Ranking/Gestión,Negativo,Crítica presupuesto y autoridades,-
,,2,,C10,7 sem,❤️🙌,1,-,Positivo,Emoticones,-
,,2,,C11,7 sem,❤️❤️,1,-,Positivo,Emoticones,-
,,2,,C12,7 sem,Gracias Jeri 😮‍💨😮‍💨,0,Gestión,Negativo,Crítica rectoría,-
,,2,,C13,7 sem,"Hemos bajado al 951-1000 y lo presumen, no somos primeros por mejorar sino porque los otros siguen igual de bajos o han empeorado",1,Ranking,Negativo,Retroceso ranking,-
,,2,,C14,7 sem,"Por qué no está habilitado el reglamento de admisión? Hay muchos postulantes que han pagado el reglamento y el examen de admisión, pero la página no está habilitada para agregar los datos. @indecopioficial nos pueden dar una solución?",3,Admisión,Negativo,Problema técnico admisión,-
,,2,,C15,7 sem,@vickytaven,1,-,Neutral,Mencion usuario,-
https://www.instagram.com/p/DPXb74SDXhe/,2740,3,"San Marcos entre las 100 mejores universidades de América Latina y el Caribe 🌎

Según el ranking QS World University Rankings 2026: Latin America and The Caribbean, la Decana de América marca un hito en educación superior al posicionarse entre las mejores casas de estudio por su alto nivel, destacándose como la mejor universidad pública peruana en América Latina y el Caribe.

Este prestigioso listado es elaborado por QS (Quacquarelli Symonds), que destaca la reputación académica de la UNMSM y confirma la trascendencia científica y académica de la universidad más antigua de América.",C1,5 sem,¿Y por qué no dentro de las 10 primeras de la región?,4,Ranking,Neutral/Crítico,Posición regional,-
,,3,,C2,5 sem,"Mi querida alma Mater ❤️ ... ""San Marcos"" 💪",1,Orgullo,Positivo,Amor alma mater,-
,,3,,C3,5 sem,❤️❤️❤️❤️❤️❤️❤️❤️,0,-,Positivo,Emoticones,-
,,3,,C4,5 sem,❤️🔥🙌,0,-,Positivo,Emoticones,-
,,3,,C5,5 sem,👏,0,-,Positivo,Aplausos,-
,,3,,C6,5 sem,🔥🔥,0,-,Positivo,Emoticones,-
,,3,,C7,5 sem,N°1 a pesar de la mayoría de sus autoridades,8,Gestión,Mixto,Crítica autoridades,-
,,3,,C8,5 sem,🙌,0,-,Positivo,Emoticones,-
,,3,,C9,5 sem,"Ya se sabe que San Marcos es la mejor pública del Perú, pero cuándo será la mejor del Perú?",2,Ranking,Neutral/Crítico,Comparación nacional,-
https://www.instagram.com/p/DRA1pCKFBKq/,184,4,"🏆⚽ “Desde que el deporte está en Rectorado, estamos en otro nivel.” — Dra. Jeri Ramón Ruffner de Vega
Durante una emotiva ceremonia, la rectora de la UNMSM, acompañada por decanos y autoridades, reconoció al equipo de fútbol masculino sanmarquino.

💪 Con 10 victorias consecutivas frente a 18 universidades, la selección demostró ser un ejemplo de constancia y resiliencia, clasificando al Campeonato Nacional FEDUP 2026.",C1,7 sem,"todo lo que las diferentes disciplinas deportivas han logrado hasta ahora es fruto del esfuerzo de los propios deportistas universitarios , y no gracias a la gestión del rectorado actual ✊🏽✌🏽🫶🏽",5,Gestión,Negativo,Crítica rectorado deportes,-
https://www.instagram.com/p/DRAPzGkjqmy/,94,5,"🤝✨ San Marcos se une al Ministerio de la Mujer y Poblaciones Vulnerables del Perú para llevar gratitud y compañía a nuestros adultos mayores.
Los estudiantes sanmarquinos ahora tienen una nueva oportunidad de servir, acompañar y transformar vidas. 💛👵👴",C1,7 sem,Mañana clases normales ?,0,Académico,Neutral,Consulta académica,-
https://www.instagram.com/p/DQ-na8kjNup/,1150,6,"🌿✨ San Marcos investiga nuestra flora medicinal

La I Jornada sobre Plantas Medicinales reunió a la comunidad sanmarquina para analizar cómo se expenden estas especies en los mercados de Lima y cómo sus propiedades impactan en la salud de quienes las consumen.

Bajo la guía de la docente e investigadora Roxana Castañeda Sifuentes, los estudiantes presentaron posters, herbarios e infusiones que revelan el valor científico de nuestra flora medicinal.

Quédate en el video y escucha, en voz de nuestros exponentes sanmarquinos, las propiedades y beneficios de estas plantas. 💚📚",C1,7 sem,"Mis colegas unos grandes, les deseo éxitos en su futuro profesional, le agradezco a la profesora Roxana Castañeda por realizar esta jornada c:",8,Académico,Positivo,Reconocimiento académico,-
,,6,,C2,7 sem,muy interesante lo del orégano 👏,1,Académico,Positivo,Contenido específico,-
,,6,,C3,7 sem,❤️,0,-,Positivo,Emoticones,-
,,6,,C4,7 sem,💗 💗👏🏻👏🏻,2,-,Positivo,Emoticones,-
,,6,,C5,7 sem,"Te de orégano, lo mejor!🫶🏻",2,Académico,Positivo,Aplicación práctica,-
,,6,,C6,7 sem,MIS DISCULPAS A LOS COMPAÑEROS DEL JARDÍN BOTÁNICO DE FARMACIA POR ROBARME SUS HOJAS DE SUS PLANTAS,2,Humor,Neutral,Broma académica,-
,,6,,C7,7 sem,"Lleve un curso de investigación de plantas medicinales mis textos guías fueron el hampicamayoc de herminio valdizan,medicina tradicional peruana de carlos valdivia, botánica nacional del dr. Ferreyra,atlas botánico del Peru de agust bewerbauer,",0,Académico,Positivo,Experiencia personal,-
https://www.instagram.com/p/DQ7_4eej9Rw/,4480,7,¡HITO SANMARQUINO! 🤩 La UNMSM renueva su flota con 8 ómnibus Mercedes Benz 2026 de alta tecnología. Este logro beneficia a toda la comunidad y lleva el legado de la Decana de América a todo el país. ¡El progreso nos impulsa! 🚍,C1,7 sem,Llegará a puente piedra o nel,6,Servicios,Neutral,Consulta rutas,-
,,7,,C2,7 sem,Excelente noticia,0,General,Positivo,Aprobación general,-
,,7,,C3,7 sem,Que gran noticia,0,General,Positivo,Aprobación general,-
,,7,,C4,7 sem,👏👏,0,General,Positivo,Aplausos,-
,,7,,C5,7 sem,Excelente🙌,0,General,Positivo,Aprobación general,-
,,7,,C6,7 sem,Grande mi San Marcos por fin mejoraron el medio de transporte,13,Servicios,Positivo,Mejora transporte,-
,,7,,C7,7 sem,👏👏👏👏👏👏,0,General,Positivo,Aplausos,-
,,7,,C8,7 sem,Burrito modernizado. ❤️,1,Servicios,Positivo,Tradición y modernidad,-
,,7,,C9,7 sem,Universidad LAICA!!!,0,General,Positivo,Identidad,-
,,7,,C10,7 sem,ya hijito pero y mi vacante para cuando,2,Admisión,Neutral,Crítica admisión,-
,,7,,C11,7 sem,Falta la piscina!!,0,Infraestructura,Neutral,Sarcasmo/Queja,-
,,7,,C12,7 sem,Sabes las rutas,0,Servicios,Neutral,Consulta rutas,-
,,7,,C13,7 sem,"Excelente 🌟👏🏻🤗, UNMSM ♥️ siempre avanzando y mejorando 👏🏻🌟🤗, UNMSM ♥️ 🌎.",1,General,Positivo,Aprobación entusiasta,-
,,7,,C14,7 sem,"Claro, como está buscando la reelección! 🙅‍♀️ Ojito",4,Gestión,Negativo,Crítica rectoría,-
,,7,,C15,7 sem,Haya sanmarquino 🗣,0,General,Positivo,Identidad,-
https://www.instagram.com/p/DQ60_x8krab/,199,8,"🩸❤️ ¡Sanmarquino, hoy puedes ser héroe por un día!

Del 10 al 14 de noviembre, de 9:00 a. m. a 4:00 p. m., acércate a la explanada de la Escuela de Tecnología Médica y dona sangre de forma segura junto al equipo del Hospital Edgardo Rebagliati Martins.

💉 Con tu ayuda, podemos alcanzar la meta de 50 unidades diarias y salvar hasta tres vidas por donante.
Porque en San Marcos, la solidaridad también corre por nuestras venas. 💙",C1,7 sem,Que bello testimonio!🥺 Todo lo bueno se retribuye✨,2,Solidaridad,Positivo,Aprobación campaña,-
https://www.instagram.com/p/DQ5GWZ-iXyZ/,1496,9,"El equipo de fútbol masculino de San Marcos conquistó el título del Torneo Clausura FEDUP 2025 tras una final de infarto ante la UPN. 🏆💙

💪 Un triunfo que refleja el compromiso y la pasión del deporte sanmarquino, respaldado por una gestión que impulsa cada logro desde la cancha.",C1,7 sem,Miren mi story,0,Personal,Neutral,Autopromoción,-
,,9,,C2,7 sem,@verbenas_unmsm pasa imagen,0,Contenido,Neutral,Solicitud material,-
,,9,,C3,7 sem,Me dejas bien @anthonyprj mi encimen,1,Personal,Positivo,Reconocimiento personal,-
https://www.instagram.com/p/DQ2AkFQj-VL/?img_index=1,423,10,"🩸 Campaña de Donación Voluntaria de Sangre

La Universidad Nacional Mayor de San Marcos invita a toda la comunidad a participar en esta jornada solidaria que salva vidas y promueve la empatía y la unión. ❤️

📅 Del 10 al 14 de noviembre
🕗 De 8:00 a. m. a 4:00 p. m.
📍 Explanada de Tecnología Médica

Tu donación puede marcar la diferencia. 💉🤝",C1,7 sem,Precisa la canción 😂,0,Contenido,Neutral,Comentario musical,-
,,10,,C2,7 sem,¡Anímense a donar! Con una donación puedes salvar hasta 3 vidas ❤️🧑🏻‍🔬 @sanmarcosdona,0,Solidaridad,Positivo,Promoción campaña,-
https://www.instagram.com/p/DQxes5LD47L/,243,11,"En el marco de los Juegos Florales “Julia Sánchez Deza”, el Futsal Femenino se vivió con intensidad y emoción, coronando a las favoritas del torneo: la imbatible Facultad de Educación. 🏆💙

🙌 Más allá del resultado, las jugadoras demostraron corazón, entrega y pasión, rompiendo estigmas y dejando claro que el talento femenino brilla en la cancha.

🎙️ En sus palabras, destacaron el apoyo constante de la alta dirigencia universitaria para seguir impulsando el deporte sanmarquino.
✨ ¡Felicidades, campeonas!",,,,,,,,
https://www.instagram.com/p/DQu0HwwFWGO/,1098,12,"📞 𝐈𝐧𝐟𝐨𝐫𝐦𝐞𝐬 𝐲 𝐩𝐞𝐝𝐢𝐝𝐨𝐬: +𝟓𝟏 𝟗𝟗𝟑 𝟏𝟔𝟗 𝟔𝟔𝟒

🎄✨ Los sanmarquinos nos caracterizamos por nuestro sentido de pertenencia, porque amamos lo nuestro 💙.
Y este fin de año, no dudaremos en disfrutar —y agotar— el delicioso Panetón Sanmarquino, hecho con tradición y calidad. 🎁

📍Puntos de venta:
Puerta 1 | Puerta 2 | Panadería FII | Planta Piloto de Panadería

💫 ¡Endulza tu Navidad con el auténtico sabor de la Decana de América!",C1,8 sem,Quieroooo 🤤,2,Productos,Positivo,Deseo producto,-
https://www.instagram.com/p/DQsUkOxiGoa/,146,13,"✨ Estudiantes de la Escuela Profesional de Administración de Turismo participaron en la campaña de promoción de la Feria Gastronómica Perú Mucho Gusto, junto a PromPerú.
🍽️ Una jornada que fortaleció su vínculo con la gastronomía peruana y confirmó el compromiso sanmarquino con la promoción del turismo y la cultura del país. 💙",,,,,,,,
https://www.instagram.com/p/DQpmC_jD84x/?img_index=1,1108,14,"🌟 Desde San Marcos hacia el mundo 🌍
El sanmarquino Álvaro Bendrell, egresado de la Facultad de Letras y Ciencias Humanas, destaca en Estados Unidos como director de Comunicaciones Digitales en Enel North America, una de las empresas multinacionales más importantes del sector energético. ⚡🇺🇸

🎓 Su historia refleja el talento, la perseverancia y la visión global que caracterizan a los profesionales formados en la Decana de América.",C1,alvarobendrell,"Gracias por esta nota, alma mater. Siempre llevaré con responsabilidad y orgullo el escudo de la Decana de América. Yo me fui de San Marcos, pero San Marcos nunca se irá de mí.",10,Orgullo,Positivo,Agradecimiento institucional,-
,,14,,C2,7 sem,Felicitaciones 👏,0,Orgullo,Positivo,Reconocimiento,-
,,14,,C3,7 sem,🙌,0,Orgullo,Positivo,Emoticones,-
,,14,,C4,7 sem,👏,0,Orgullo,Positivo,Aplausos,-
,,14,,C5,7 sem,👏👏👏,0,Orgullo,Positivo,Aplausos,-
,,14,,C6,7 sem,👏,0,Orgullo,Positivo,Aplausos,-
,,14,,C7,diegoatoche,"@alvarobendrell qué orgullo! Sabes que me siento súper feliz de haber coincidido, de que me hayas metido el bichito de ser sanmarquino, y de conocer la calidad de persona que eres. Sigue rompiéndola, hermano, y deja a nuestra alma mater en lo más alto!!",3,Orgullo,Positivo,Reconocimiento personal,-
,,14,,C8,alvarobendrell,"@diegoatoche gracias por tu cariño y aprecio de siempre, querido Diego.",0,Personal,Positivo,Agradecimiento personal,C7
https://www.instagram.com/p/DQnIbhNjKZ5/,427,15,"🎃✨ En el marco de nuestro almuerzo criollo y la celebración de Halloween, salimos a preguntarles a nuestros sanmarquinos 🎤:
👉 ¿Cuál es su celebración favorita?

Quédate hasta el final del video para descubrir sus respuestas 👀 y participa en la encuesta que encontrarás en la descripción.

💬 Cuéntanos en los comentarios:
¿Eres del team tradición criolla o del team Halloween? 🎶🍽️👻",C1,7 sem,Canción peruana p papa,0,Contenido,Positivo,Comentario musical,-
,,15,,C2,7 sem,@matiascastanedasalcedo salimos al comienzo,0,Personal,Neutral,Mencion usuario,-
,,15,,C3,7 sem,@caroline123456667,0,Personal,Neutral,Mencion usuario,-
https://www.instagram.com/p/DQmVBuskZ0-/?img_index=1,5165,16,"🎵 Con sabor y tradición, la comunidad sanmarquina celebró el Día de la Canción Criolla en la Ciudad Universitaria, donde más de 2600 estudiantes disfrutaron de un almuerzo especial y un vibrante show musical. 🇵🇪✨
🍽️ La jornada, organizada por la Oficina General de Bienestar Universitario (OGBU), destacó el compromiso con el bienestar y la alimentación saludable de los sanmarquinos. 👏",C1,7 sem,👏👏👏👏,0,General,Positivo,Aplausos,-
,,16,,C2,7 sem,❤️,0,General,Positivo,Emoticones,-
,,16,,C3,7 sem,❤️,1,General,Positivo,Emoticones,-
,,16,,C4,7 sem,❤️❤️ San Marcos 😍😍,0,Orgullo,Positivo,Amor institucional,-
,,16,,C5,7 sem,🙌❤️ San marcosss,0,Orgullo,Positivo,Identidad,-
,,16,,C6,7 sem,@camilaara_ no estabas en clase en ese momento?,1,Personal,Neutral,Mencion usuario,-
,,16,,C7,7 sem,@1benja_lara JAJSJAJJAAJJAA,1,Personal,Positivo,Reacción humor,C6
,,16,,C8,7 sem,@bryan19251517 dejando bien a la FIEE,0,Personal,Positivo,Reconocimiento facultad,-
,,16,,C9,7 sem,@camilaara_ 🔥🔥🔥,1,Personal,Positivo,Mencion usuario,-
,,16,,C10,7 sem,@kv_lia13 apareces en la portada xd,0,Personal,Neutral,Mencion usuario,-
,,16,,C11,7 sem,@parizandrew Q lo borren pls,0,Personal,Neutral,Solicitud,C10
,,16,,C12,7 sem,@camilaara_ ?,0,Personal,Neutral,Mencion usuario,-
,,16,,C13,7 sem,@toooochi__,0,Personal,Neutral,Mencion usuario,-
,,16,,C14,7 sem,@camilaara_ que lindaaaa representando a Odonto 🙌🫶🏼,2,Personal,Positivo,Reconocimiento facultad,-
,,16,,C15,7 sem,"@brunosebastian_444, @jameschavarriananlvarte, @just.jesu5, @pierocaletf2073 Aura?",0,Personal,Neutral,Mencion multiple,-
https://www.instagram.com/p/DQfWCcUiD17/,4632,17,"🎶💙 ¡San Marcos celebró a lo grande el Día de la Canción Criolla! 🇵🇪
Más de 2600 estudiantes disfrutaron de un almuerzo especial con arroz con pollo, papa a la huancaína, mazamorra morada y jugo de naranja, acompañados del talento de @elzambobarbieri, @aldairsanchezoficial, @pamelaabantoperu y @carlosardiles.peru , quienes llenaron de música y alegría la Ciudad Universitaria. 🎤✨

🍽️ La actividad, organizada por la Oficina General de Bienestar Universitario, también llegó a las sedes de Cangallo y Veterinaria, confirmando el compromiso que tiene la actual gestión rectoral con el bienestar y la buena alimentación de nuestros sanmarquinos. 💪❤️",C1,7 sem,Mi Tocaya dándolo todo en el escenario!!! Tan bella mi Cami ❤️😍,3,Personal,Positivo,Reconocimiento personal,-
,,17,,C2,7 sem,La mitad de la vida universitaria es hacer cola😂,9,Vida Estudiantil,Neutral/Humor,Crítica leve organización,-
,,17,,C3,7 sem,@yaku.nati asi es,1,Personal,Neutral,Confirmación,C2
,,17,,C4,7 sem,@matiascastanedasalcedo apareces,0,Personal,Neutral,Mencion usuario,-
,,17,,C5,7 sem,Ese @yossep.3 estás en todas,1,Personal,Positivo,Mencion usuario,-
https://www.instagram.com/p/DQaJXXYj4Sh/,188,18,"La Facultad de Ingeniería Industrial realizó la 13° Feria Laboral INDUTEXSEG, un espacio que reunió a más de 20 empresas y 15 ponencias enfocadas en la empleabilidad, la innovación y el desarrollo profesional. 🚀
Durante cinco días, el evento fortaleció el vínculo entre los estudiantes sanmarquinos y el sector empresarial, potenciando sus competencias técnicas y habilidades blandas para afrontar con éxito los desafíos del mundo laboral. 💙🎓",C1,7 sem,Buena,1,Académico,Positivo,Aprobación evento,-
https://www.instagram.com/p/DQXyrXdD9DI/,2169,19,"🎶💙 ¡La Decana de América festeja al ritmo de cajón y guitarra! 🇵🇪
Celebramos con sabor criollo junto al Zambo Barbieri, Aldair Sánchez, Pamela Abanto y Carlos Ardiles, en una jornada llena de música, alegría y degustando platillos peruanos como 𝐥𝐚 𝐩𝐚𝐩𝐚 𝐚 𝐥𝐚 𝐡𝐮𝐚𝐧𝐜𝐚𝐢́𝐧𝐚, 𝐞𝐥 𝐚𝐫𝐫𝐨𝐳 𝐜𝐨𝐧 𝐩𝐨𝐥𝐥𝐨, 𝐥𝐚 𝐦𝐚𝐳𝐚𝐦𝐨𝐫𝐫𝐚 𝐦𝐨𝐫𝐚𝐝𝐚 𝐲 𝐞𝐥 𝐣𝐮𝐠𝐨 𝐝𝐞 𝐧𝐚𝐫𝐚𝐧𝐣𝐚. 🍽️✨

🍽️ Ciudad Universitaria: 2600 estudiantes
👩‍🏫 Docentes y administrativos: 200 raciones en total
🍽️ Cangallo: 770 solo estudiantes
🍽️ Veterinaria: 220 solo estudiantes

❤️ ¡Orgullo, cultura y comunidad sanmarquina!",C1,7 sem,¡Viva la canción criolla!,4,Orgullo,Positivo,Celebración cultural,-
,,19,,C2,7 sem,😮😮 Ala miércoles en mis tiempos solo era fiestas patrias y navidad 🫠,28,Comparación,Neutral/Nostalgia,Cambio tradiciones,-
,,19,,C3,7 sem,"Va estar repleto en sm, toda la barriada XD por eso nunca hago cola, me dan cólera XDDD",4,Organización,Negativo/Leve,Crítica colas,-
,,19,,C4,7 sem,Veremos si es arroz con pollo o seco con huesito. 😢,3,Comida,Neutral/Escepticismo,Calidad comida,-
,,19,,C5,7 sem,Buenaaaaaaaa,4,General,Positivo,Aprobación,-
,,19,,C6,7 sem,(nunca comí en el comedor)😪,0,Comida,Neutral,Experiencia personal,-
,,19,,C7,7 sem,Ay no llegooo 😩😩😭😭😭😭,0,Organización,Negativo/Leve,Frustración acceso,-
,,19,,C8,7 sem,Qué envidia 🥹,2,General,Positivo,Deseo participar,-
,,19,,C9,7 sem,"Yo soy más de los kipus, pero God igual",0,Comparación,Neutral,Preferencia personal,-
,,19,,C10,7 sem,q viva el peru,0,Orgullo,Positivo,Patriotismo,-
,,19,,C11,7 sem,webadas escucha la flaca,0,Contenido,Negativo,Crítica musical,-
,,19,,C12,7 sem,Orgullo sanmarquino mi @giabox01 😍,3,Personal,Positivo,Reconocimiento personal,-
https://www.instagram.com/p/DQXH63AD0Lx/?img_index=1,1294,20,"🎶 ¡San Marcos celebra con sabor y tradición! 🇵🇪✨

La UNMSM conmemora el Día de la Canción Criolla con un gran Almuerzo y Show Criollo en vivo en el Comedor Universitario de la Ciudad Universitaria, desde el mediodía. 🎤🍽️

🥗 El menú: Papa a la huancaína, arroz con pollo, mazamorra morada y jugo de naranja.

🎵 Disfruta del talento de Aldair Sánchez, Carlos Ardiles, junto al marco musical de GeanCarlo Tejada, Pamela Abanto y El Zambo Barbieri, quienes pondrán el ritmo y la alegría a esta celebración.

🍽️ Raciones distribuidas:

Ciudad Universitaria: 2600 para estudiantes

Cangallo: 770 para estudiantes

Veterinaria: 220 para estudiantes

Docentes: 100 (Ciudad Universitaria)

Administrativos: 100 (Ciudad Universitaria)

❤️ ¡Vive la tradición criolla en la Decana de América!",C1,7 sem,Que rico comí ese día caracho,0,Comida,Positivo,Satisfacción experiencia,-
,,20,,C2,7 sem,A partir de que hora repartiran los tickets?,0,Organización,Neutral,Consulta práctica,-
,,20,,C3,7 sem,Provecho 👏,0,General,Positivo,Saludo,-
,,20,,C4,7 sem,😍😍😍Saludos de una ex san Marquina! Como me encantaría volver a ser alumna en estos momentos!😸,5,Nostalgia,Positivo,Nostalgia ex-alumna,-
https://www.instagram.com/p/DQVS_mED8Aj/,429,21,"🌊 ¿Sabías que la historia de la parihuela pudo haber nacido en el mar del Callao?
Antes de ser el nombre de una sopa, “la parihuela” era la madera que los pescadores más humildes recogían del mar para encender su fuego. 🔥
De esa historia de ingenio y sabor nació uno de los platos más emblemáticos del Perú. 🇵🇪🍛

🎣 El mar nos inspira, el Callao le da sabor.",,,,,,,,
https://www.instagram.com/p/DQTT7bkgLK5/?img_index=1,1224,22,"𝐒𝐎𝐌𝐎𝐒 𝐂𝐀𝐌𝐏𝐄𝐎𝐍𝐄𝐒 🏆⚽

Luego de un partido lleno de emociones, el equipo logró recuperarse de un 2-0 en contra y, con un gol al ultimo minuto, llevamos la serie a la tanda de penales.

La victoria y el trofeo del torneo clausura nos pertenece. Ahora vamos por más.

𝑼́𝒏𝒂𝒏𝒔𝒆 𝒂𝒍 𝒃𝒂𝒊𝒍𝒆 𝒅𝒆 𝒍𝒂 𝑫𝒆𝒄𝒂𝒏𝒂 𝒅𝒆 𝑨𝒎𝒆́𝒓𝒊𝒄𝒂...",C1,7 sem,Se lo merecen cracks 👏 🫶,2,Deportes,Positivo,Reconocimiento equipo,-
https://www.instagram.com/p/DQNglcnjjGt/,1170,23,"🏆 ¡SOMOS CAMPEONES! 💙⚽
El equipo de fútbol masculino de la UNMSM se coronó campeón del Torneo Clausura FEDUP 2025, tras una apasionante final ante la UPN, donde la garra sanmarquina se impuso en los penales.

🔥 Invictos con 10 victorias consecutivas, los sanmarquinos clasificaron al Campeonato Nacional FEDUP 2026 en Cusco.

💬 “Nos levantamos a las 4 a.m. para entrenar. Este título es de todo San Marcos”, destacó Marcelo Pérez, jugador y estudiante de Educación Física.

💪 Disciplina, esfuerzo y pasión: así San Marcos demuestra que los triunfos se construyen desde la",C1,7 sem,Bien Sanmarquinos …!!!👏👏,0,Deportes,Positivo,Felicitación general,-
,,23,,C2,7 sem,Felicitaciones muchachones,0,Deportes,Positivo,Reconocimiento equipo,-
,,23,,C3,7 sem,La decana 🔥❤️🙌,0,Orgullo,Positivo,Identidad institucional,-
,,23,,C4,7 sem,👏👏👏👏,0,Deportes,Positivo,Aplausos,-
,,23,,C5,7 sem,Excelinte felicitaciones,0,Deportes,Positivo,Felicitación,-
